48.323053,79.519346
35.014970,75.707946
67.879116,73.993956
76.408049,34.785100
19.585693,50.623802
43.423474,20.707906
73.130136,68.759910
26.229296,67.964645
68.234375,73.789627
65.361192,76.085003
76.019258,35.461642
51.221348,19.841913
25.975716,68.055590
67.554360,73.581610
68.067257,25.668244
37.007206,76.762360
47.830665,80.245812
25.806467,67.516299
48.251683,19.961553
20.003823,48.610662
25.725297,31.733522
50.813872,20.356633
68.054602,25.705731
48.330932,79.901192
79.965059,49.863196
50.615480,20.290315
61.154646,77.697476
60.558471,77.709661
60.782846,77.607217
50.613395,19.809329
47.625522,20.155221
61.097570,21.971079
68.016513,25.777942
68.313526,26.222469
52.536828,20.488306
58.094001,21.184461
75.990468,35.418132
79.425296,41.733076
76.006820,64.850347
48.169310,19.856116
60.964521,77.625380
48.256362,19.569404
40.221694,78.031609
26.436247,67.693005
47.922623,80.053260
47.826090,20.222415
42.954313,20.826681
25.721053,68.322474
50.942243,20.408356
51.476015,20.351720
34.691080,24.054034
65.481735,24.127138
36.834225,22.959101
67.548362,73.973018
51.087716,19.952104
65.245612,23.888008
57.794447,78.811078
25.521779,67.960054
42.641036,79.277312
58.404000,79.450250
47.960488,80.473936
76.398434,34.587836
25.607179,68.385224
42.734886,78.600136
65.053642,23.566007
80.330735,50.433839
34.640097,76.377227
79.920440,49.657293
61.159308,22.327518
48.351541,79.559886
57.685702,20.953680
51.187739,80.173744
64.611443,75.992146
48.188287,20.482079
20.352909,48.587308
80.054246,50.299133
50.979835,79.937628
25.629661,31.814175
47.897725,79.897968
50.088231,183.083847
61.333754,78.393262
43.139547,20.813302
36.846505,76.825505
26.194038,68.424362
64.926175,76.431065
67.888624,26.181930
22.692845,62.730936
51.488340,20.104010
61.083027,21.947675
37.193354,76.590047
80.113701,50.326788
65.026701,75.746121
47.821841,80.475679
80.046633,50.093677
68.268354,25.872462
64.985617,76.419085
76.460064,34.688829
75.734194,35.460264
72.918868,31.140701
50.878316,19.550175
78.878737,42.088854
60.735269,22.182592
58.145744,20.525230
51.109741,79.862752
80.084820,50.214706
79.029631,41.815134
65.476958,76.092750
79.652943,50.243900
36.756496,22.543535
36.639996,22.627641
48.236292,19.706726
47.548717,19.807132
25.558179,31.540282
36.640859,22.640669
23.427539,62.992760
37.132754,77.122911
79.687468,49.589684
50.709706,79.514149
79.895371,50.236872
80.311420,50.204666
51.460606,80.275113
67.874545,25.613508
76.103570,65.179430
51.071912,19.703481
79.816929,49.899192
72.860405,30.944859
58.250393,21.150771
42.804020,78.890310
51.302885,19.647393
67.740986,74.352784
48.124982,20.258076
47.769355,19.715163
51.456403,19.787460
37.484476,22.514904
37.152597,22.864095
48.355942,19.765876
65.479527,23.841518
67.865119,73.741644
48.290920,19.673062
51.279595,19.645242
36.752079,22.503288
64.972763,23.604300
